,treatment,categoryOrValue,range,IV
19,https://data.cooperationdatabank.org/id/ENG00026_1.1.2,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
20,https://data.cooperationdatabank.org/id/ENG00026_1.1.1,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
21,https://data.cooperationdatabank.org/id/ENG00026_1.1.3,3,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
22,https://data.cooperationdatabank.org/id/ENG00026_1.1.2,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
23,https://data.cooperationdatabank.org/id/ENG00026_1.1.3,3,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
24,https://data.cooperationdatabank.org/id/ENG00026_1.2.1,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
25,https://data.cooperationdatabank.org/id/ENG00026_1.2.2,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
26,https://data.cooperationdatabank.org/id/ENG00026_1.2.1,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
27,https://data.cooperationdatabank.org/id/ENG00026_1.2.3,3,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
28,https://data.cooperationdatabank.org/id/ENG00026_1.2.2,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
29,https://data.cooperationdatabank.org/id/ENG00026_1.2.3,3,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
30,https://data.cooperationdatabank.org/id/ENG00026_1.3.1,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
31,https://data.cooperationdatabank.org/id/ENG00026_1.3.3,3,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
32,https://data.cooperationdatabank.org/id/ENG00026_1.4.1,https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
33,https://data.cooperationdatabank.org/id/ENG00026_1.4.2,https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
34,https://data.cooperationdatabank.org/id/ENG00026_1.4.1,https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
35,https://data.cooperationdatabank.org/id/ENG00026_1.4.3,https://data.cooperationdatabank.org/id/anonymitymanipul/medium,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
36,https://data.cooperationdatabank.org/id/ENG00026_1.4.2,https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
37,https://data.cooperationdatabank.org/id/ENG00026_1.4.3,https://data.cooperationdatabank.org/id/anonymitymanipul/medium,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
38,https://data.cooperationdatabank.org/id/ENG00046_1.1.1,https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
39,https://data.cooperationdatabank.org/id/ENG00046_1.1.2,https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
40,https://data.cooperationdatabank.org/id/ENG00046_1.2.1,https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
41,https://data.cooperationdatabank.org/id/ENG00046_1.2.2,https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/vocab/class/AnonymityManipul,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul
42,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
43,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
44,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
45,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
46,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
47,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
48,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
49,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
50,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
51,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
52,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
53,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/class/DescriptiveNorm,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm
54,https://data.cooperationdatabank.org/id/ENG00055_1.1.1,https://data.cooperationdatabank.org/id/publicgoodbadframe/public_bad,https://data.cooperationdatabank.org/vocab/class/PublicGoodBadFrame,https://data.cooperationdatabank.org/vocab/prop/publicGoodBadFrame
55,https://data.cooperationdatabank.org/id/ENG00055_1.1.2,https://data.cooperationdatabank.org/id/publicgoodbadframe/public_good,https://data.cooperationdatabank.org/vocab/class/PublicGoodBadFrame,https://data.cooperationdatabank.org/vocab/prop/publicGoodBadFrame
56,https://data.cooperationdatabank.org/id/ENG00055_1.2.1,https://data.cooperationdatabank.org/id/gender/f,https://data.cooperationdatabank.org/vocab/class/Gender,https://data.cooperationdatabank.org/vocab/prop/gender
57,https://data.cooperationdatabank.org/id/ENG00055_1.2.2,https://data.cooperationdatabank.org/id/gender/m,https://data.cooperationdatabank.org/vocab/class/Gender,https://data.cooperationdatabank.org/vocab/prop/gender
58,https://data.cooperationdatabank.org/id/ENG00055_1.3.1,Khasi,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/society
59,https://data.cooperationdatabank.org/id/ENG00055_1.3.2,Other,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/society
60,https://data.cooperationdatabank.org/id/ENG00055_1.3.1,Khasi,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/society
61,https://data.cooperationdatabank.org/id/ENG00055_1.3.3,Other,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/society
62,https://data.cooperationdatabank.org/id/ENG00060_1.2.1,CZE,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/nationality
63,https://data.cooperationdatabank.org/id/ENG00060_1.2.2,USA,http://www.w3.org/2001/XMLSchema#string,https://data.cooperationdatabank.org/vocab/prop/nationality
64,https://data.cooperationdatabank.org/id/ENG00072_1.1.1,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/vocab/class/PartnerPerceptionLevel,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel
65,https://data.cooperationdatabank.org/id/ENG00072_1.1.2,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/class/PartnerPerceptionLevel,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel
66,https://data.cooperationdatabank.org/id/ENG00072_1.1.1,https://data.cooperationdatabank.org/id/partnerperception/attractive,https://data.cooperationdatabank.org/vocab/class/PartnerPerception,https://data.cooperationdatabank.org/vocab/prop/partnerPerception
67,https://data.cooperationdatabank.org/id/ENG00072_1.1.3,https://data.cooperationdatabank.org/id/partnerperception/unattractive,https://data.cooperationdatabank.org/vocab/class/PartnerPerception,https://data.cooperationdatabank.org/vocab/prop/partnerPerception
68,https://data.cooperationdatabank.org/id/ENG00072_1.1.2,https://data.cooperationdatabank.org/id/partnerperception/attractive,https://data.cooperationdatabank.org/vocab/class/PartnerPerception,https://data.cooperationdatabank.org/vocab/prop/partnerPerception
69,https://data.cooperationdatabank.org/id/ENG00072_1.1.3,https://data.cooperationdatabank.org/id/partnerperception/unattractive,https://data.cooperationdatabank.org/vocab/class/PartnerPerception,https://data.cooperationdatabank.org/vocab/prop/partnerPerception
70,https://data.cooperationdatabank.org/id/ENG00072_1.2.1,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/class/FeedbackTarget,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget
71,https://data.cooperationdatabank.org/id/ENG00072_1.2.2,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/vocab/class/FeedbackTarget,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget
72,https://data.cooperationdatabank.org/id/ENG00087_3.3.1,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/vocab/class/TrialOfCooperationOrdinal,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal
73,https://data.cooperationdatabank.org/id/ENG00087_3.3.2,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/class/TrialOfCooperationOrdinal,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal
74,https://data.cooperationdatabank.org/id/ENG00100_1.1.1,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
75,https://data.cooperationdatabank.org/id/ENG00100_1.1.2,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
76,https://data.cooperationdatabank.org/id/ENG00100_1.1.1,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
77,https://data.cooperationdatabank.org/id/ENG00100_1.1.3,https://data.cooperationdatabank.org/id/contextframe/generic,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
78,https://data.cooperationdatabank.org/id/ENG00100_1.1.2,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
79,https://data.cooperationdatabank.org/id/ENG00100_1.1.3,https://data.cooperationdatabank.org/id/contextframe/generic,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
80,https://data.cooperationdatabank.org/id/ENG00100_2.1.1,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
81,https://data.cooperationdatabank.org/id/ENG00100_2.1.2,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
82,https://data.cooperationdatabank.org/id/ENG00100_2.1.1,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
83,https://data.cooperationdatabank.org/id/ENG00100_2.1.3,https://data.cooperationdatabank.org/id/contextframe/generic,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
84,https://data.cooperationdatabank.org/id/ENG00100_2.1.2,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
85,https://data.cooperationdatabank.org/id/ENG00100_2.1.3,https://data.cooperationdatabank.org/id/contextframe/generic,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
86,https://data.cooperationdatabank.org/id/ENG00100_2.2.1,https://data.cooperationdatabank.org/id/svotype/individualist,https://data.cooperationdatabank.org/vocab/class/SVOType,https://data.cooperationdatabank.org/vocab/prop/sVOType
87,https://data.cooperationdatabank.org/id/ENG00100_2.2.2,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/vocab/class/SVOType,https://data.cooperationdatabank.org/vocab/prop/sVOType
88,https://data.cooperationdatabank.org/id/ENG00100_3.1.1,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
89,https://data.cooperationdatabank.org/id/ENG00100_3.1.2,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/class/ContextFrame,https://data.cooperationdatabank.org/vocab/prop/contextFrame
90,https://data.cooperationdatabank.org/id/ENG00100_3.3.1,https://data.cooperationdatabank.org/id/svotype/individualist,https://data.cooperationdatabank.org/vocab/class/SVOType,https://data.cooperationdatabank.org/vocab/prop/sVOType
91,https://data.cooperationdatabank.org/id/ENG00100_3.3.2,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/vocab/class/SVOType,https://data.cooperationdatabank.org/vocab/prop/sVOType
92,https://data.cooperationdatabank.org/id/ENG00129_2.1.1,https://data.cooperationdatabank.org/id/primingconcept/other,https://data.cooperationdatabank.org/vocab/class/PrimingConcept,https://data.cooperationdatabank.org/vocab/prop/primingConcept
93,https://data.cooperationdatabank.org/id/ENG00129_2.1.2,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/class/PrimingConcept,https://data.cooperationdatabank.org/vocab/prop/primingConcept
94,https://data.cooperationdatabank.org/id/ENG00129_2.3.1,1,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
95,https://data.cooperationdatabank.org/id/ENG00129_2.3.2,0,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
96,https://data.cooperationdatabank.org/id/ENG00129_2.4.1,1,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
97,https://data.cooperationdatabank.org/id/ENG00129_2.4.2,0,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
98,https://data.cooperationdatabank.org/id/ENG00129_2.5.1,1,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
99,https://data.cooperationdatabank.org/id/ENG00129_2.5.2,0,http://www.w3.org/2001/XMLSchema#boolean,https://data.cooperationdatabank.org/vocab/prop/ostracism
100,https://data.cooperationdatabank.org/id/ENG00136_1.2.1,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/class/TargetMembership,https://data.cooperationdatabank.org/vocab/prop/targetMembership
101,https://data.cooperationdatabank.org/id/ENG00136_1.2.2,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/class/TargetMembership,https://data.cooperationdatabank.org/vocab/prop/targetMembership
102,https://data.cooperationdatabank.org/id/ENG00136_1.3.1,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/class/TargetMembership,https://data.cooperationdatabank.org/vocab/prop/targetMembership
103,https://data.cooperationdatabank.org/id/ENG00136_1.3.2,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/class/TargetMembership,https://data.cooperationdatabank.org/vocab/prop/targetMembership
104,https://data.cooperationdatabank.org/id/ENG00151_1.5.1,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
105,https://data.cooperationdatabank.org/id/ENG00151_1.5.2,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
106,https://data.cooperationdatabank.org/id/ENG00151_1.5.1,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
107,https://data.cooperationdatabank.org/id/ENG00151_1.5.3,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
108,https://data.cooperationdatabank.org/id/ENG00151_1.5.1,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
109,https://data.cooperationdatabank.org/id/ENG00151_1.5.4,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/class/UncertaintyLevel,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel
110,https://data.cooperationdatabank.org/id/ENG00151_1.5.2,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,https://data.cooperationdatabank.org/vocab/class/UncertaintyTarget,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget
111,https://data.cooperationdatabank.org/id/ENG00151_1.5.3,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,https://data.cooperationdatabank.org/vocab/class/UncertaintyTarget,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget
112,https://data.cooperationdatabank.org/id/ENG00152_1.1.1,150,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
113,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,145,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
114,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,155,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
115,https://data.cooperationdatabank.org/id/ENG00152_1.1.1,150,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
116,https://data.cooperationdatabank.org/id/ENG00152_1.1.3,140,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
117,https://data.cooperationdatabank.org/id/ENG00152_1.1.3,160,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
118,https://data.cooperationdatabank.org/id/ENG00152_1.1.1,150,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
119,https://data.cooperationdatabank.org/id/ENG00152_1.1.4,135,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
120,https://data.cooperationdatabank.org/id/ENG00152_1.1.4,165,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
121,https://data.cooperationdatabank.org/id/ENG00152_1.1.1,150,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
122,https://data.cooperationdatabank.org/id/ENG00152_1.1.5,100,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
123,https://data.cooperationdatabank.org/id/ENG00152_1.1.5,200,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
124,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,145,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
125,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,155,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
126,https://data.cooperationdatabank.org/id/ENG00152_1.1.3,140,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
127,https://data.cooperationdatabank.org/id/ENG00152_1.1.3,160,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
128,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,145,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
129,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,155,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
130,https://data.cooperationdatabank.org/id/ENG00152_1.1.4,135,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
131,https://data.cooperationdatabank.org/id/ENG00152_1.1.4,165,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
132,https://data.cooperationdatabank.org/id/ENG00152_1.1.2,145,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/threshold
