,obs,dependent,ES,N,t1,t2,study,design,n1,n2,sd1,sd2,ESLower,ESUpper,paper,doi,independentProperties,categoryT1,categoryT2
10,https://data.cooperationdatabank.org/id/ENG00026_1.1.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.155425,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.1.1,https://data.cooperationdatabank.org/id/ENG00026_1.1.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.297,1.315,-0.401901,0.0910498,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],1,3
11,https://data.cooperationdatabank.org/id/ENG00026_1.1.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0060022,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.1.2,https://data.cooperationdatabank.org/id/ENG00026_1.1.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.35,1.315,-0.251004,0.239,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],2,3
12,https://data.cooperationdatabank.org/id/ENG00026_1.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.164389,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.2.1,https://data.cooperationdatabank.org/id/ENG00026_1.2.2,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.272,1.076,-0.411039,0.0822602,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],1,2
13,https://data.cooperationdatabank.org/id/ENG00026_1.2.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.208985,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.2.1,https://data.cooperationdatabank.org/id/ENG00026_1.2.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.272,1.407,-0.456646,0.0386754,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],1,3
14,https://data.cooperationdatabank.org/id/ENG00026_1.2.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0674953,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.2.2,https://data.cooperationdatabank.org/id/ENG00026_1.2.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.076,1.407,-0.312774,0.177784,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],2,3
15,https://data.cooperationdatabank.org/id/ENG00026_1.3.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.109936,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.3.1,https://data.cooperationdatabank.org/id/ENG00026_1.3.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.232,1.009,-0.135803,0.355675,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],1,3
16,https://data.cooperationdatabank.org/id/ENG00026_1.4.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.335761,16.0,https://data.cooperationdatabank.org/id/ENG00026_1.4.1,https://data.cooperationdatabank.org/id/ENG00026_1.4.2,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,8.0,8.0,1.32067,1.25167,-0.651102,1.32262,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/anonymityManipul'],https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/id/anonymitymanipul/low
17,https://data.cooperationdatabank.org/id/ENG00026_1.4.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.583938,16.0,https://data.cooperationdatabank.org/id/ENG00026_1.4.1,https://data.cooperationdatabank.org/id/ENG00026_1.4.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,8.0,8.0,1.32067,1.13367,-0.416711,1.58459,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/anonymityManipul'],https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/id/anonymitymanipul/medium
18,https://data.cooperationdatabank.org/id/ENG00026_1.4.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.240064,16.0,https://data.cooperationdatabank.org/id/ENG00026_1.4.2,https://data.cooperationdatabank.org/id/ENG00026_1.4.3,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,8.0,8.0,1.25167,1.13367,-0.743441,1.22357,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/anonymityManipul'],https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/id/anonymitymanipul/medium
19,https://data.cooperationdatabank.org/id/ENG00046_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,-0.107399,997.0,https://data.cooperationdatabank.org/id/ENG00046_1.1.1,https://data.cooperationdatabank.org/id/ENG00046_1.1.2,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,495.0,502.0,4.05,6.15,-0.231637,0.0168388,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/anonymityManipul'],https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/id/anonymitymanipul/low
20,https://data.cooperationdatabank.org/id/ENG00046_1.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.0249041,997.0,https://data.cooperationdatabank.org/id/ENG00046_1.2.1,https://data.cooperationdatabank.org/id/ENG00046_1.2.2,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,500.0,497.0,5.69,4.7,-0.0992466,0.149055,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/anonymityManipul'],https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/id/anonymitymanipul/low
21,https://data.cooperationdatabank.org/id/ENG00046_1.3.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.105503,499.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,250.0,249.0,7.79,3.58,-0.0700993,0.281106,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation
22,https://data.cooperationdatabank.org/id/ENG00046_1.3.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.14669,499.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,250.0,249.0,7.79,2.82,-0.0290263,0.322406,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation
23,https://data.cooperationdatabank.org/id/ENG00046_1.3.1.4.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0166028,499.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.1,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,250.0,249.0,7.79,5.2,-0.192086,0.158881,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/no_information,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation
24,https://data.cooperationdatabank.org/id/ENG00046_1.3.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.0682703,498.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,249.0,249.0,3.58,2.82,-0.107437,0.243978,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation
25,https://data.cooperationdatabank.org/id/ENG00046_1.3.2.4.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.168007,498.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.2,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,249.0,249.0,3.58,5.2,-0.343973,0.00795884,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation
26,https://data.cooperationdatabank.org/id/ENG00046_1.3.3.4.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.2319,498.0,https://data.cooperationdatabank.org/id/ENG00046_1.3.3,https://data.cooperationdatabank.org/id/ENG00046_1.3.4,https://data.cooperationdatabank.org/id/ENG00046_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,249.0,249.0,2.82,5.2,-0.408145,-0.055654,https://data.cooperationdatabank.org/id/ENG00046,http://dx.doi.org/10.1016/j.jpubeco.2007.11.004,['https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm'],https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation
27,https://data.cooperationdatabank.org/id/ENG00055_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.4263,191.0,https://data.cooperationdatabank.org/id/ENG00055_1.1.1,https://data.cooperationdatabank.org/id/ENG00055_1.1.2,https://data.cooperationdatabank.org/id/ENG00055_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,95.0,15.341,18.322,-0.713144,-0.139457,https://data.cooperationdatabank.org/id/ENG00055,http://dx.doi.org/10.1257/aer.98.2.376,['https://data.cooperationdatabank.org/vocab/prop/publicGoodBadFrame'],https://data.cooperationdatabank.org/id/publicgoodbadframe/public_bad,https://data.cooperationdatabank.org/id/publicgoodbadframe/public_good
28,https://data.cooperationdatabank.org/id/ENG00055_1.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.339222,191.0,https://data.cooperationdatabank.org/id/ENG00055_1.2.1,https://data.cooperationdatabank.org/id/ENG00055_1.2.2,https://data.cooperationdatabank.org/id/ENG00055_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,95.0,16.95,17.597,0.0535496,0.624895,https://data.cooperationdatabank.org/id/ENG00055,http://dx.doi.org/10.1257/aer.98.2.376,['https://data.cooperationdatabank.org/vocab/prop/gender'],https://data.cooperationdatabank.org/id/gender/f,https://data.cooperationdatabank.org/id/gender/m
29,https://data.cooperationdatabank.org/id/ENG00055_1.3.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.208455,130.0,https://data.cooperationdatabank.org/id/ENG00055_1.3.1,https://data.cooperationdatabank.org/id/ENG00055_1.3.2,https://data.cooperationdatabank.org/id/ENG00055_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,79.0,51.0,14.6,24.7,-0.144519,0.561429,https://data.cooperationdatabank.org/id/ENG00055,http://dx.doi.org/10.1257/aer.98.2.376,['https://data.cooperationdatabank.org/vocab/prop/society'],Khasi,Other
30,https://data.cooperationdatabank.org/id/ENG00055_1.3.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.61098,140.0,https://data.cooperationdatabank.org/id/ENG00055_1.3.1,https://data.cooperationdatabank.org/id/ENG00055_1.3.3,https://data.cooperationdatabank.org/id/ENG00055_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,79.0,61.0,14.6,13.4,1.2273,1.99465,https://data.cooperationdatabank.org/id/ENG00055,http://dx.doi.org/10.1257/aer.98.2.376,['https://data.cooperationdatabank.org/vocab/prop/society'],Khasi,Other
31,https://data.cooperationdatabank.org/id/ENG00060_1.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,3.41493,172.0,https://data.cooperationdatabank.org/id/ENG00060_1.2.1,https://data.cooperationdatabank.org/id/ENG00060_1.2.2,https://data.cooperationdatabank.org/id/ENG00060_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,98.0,74.0,1.65333,2.09833,2.94447,3.8854,https://data.cooperationdatabank.org/id/ENG00060,http://dx.doi.org/10.1007/s10683-011-9274-8,['https://data.cooperationdatabank.org/vocab/prop/nationality'],CZE,USA
32,https://data.cooperationdatabank.org/id/ENG00072_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.662243,62.0,https://data.cooperationdatabank.org/id/ENG00072_1.1.1,https://data.cooperationdatabank.org/id/ENG00072_1.1.2,https://data.cooperationdatabank.org/id/ENG00072_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,18.0,44.0,3.19,3.64,0.101612,1.22287,https://data.cooperationdatabank.org/id/ENG00072,http://dx.doi.org/10.1016/j.joep.2007.07.008,['https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel'],https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low
33,https://data.cooperationdatabank.org/id/ENG00072_1.1.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.411569,36.0,https://data.cooperationdatabank.org/id/ENG00072_1.1.1,https://data.cooperationdatabank.org/id/ENG00072_1.1.3,https://data.cooperationdatabank.org/id/ENG00072_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,18.0,18.0,3.19,4.77,-1.07177,0.248633,https://data.cooperationdatabank.org/id/ENG00072,http://dx.doi.org/10.1016/j.joep.2007.07.008,['https://data.cooperationdatabank.org/vocab/prop/partnerPerception'],https://data.cooperationdatabank.org/id/partnerperception/attractive,https://data.cooperationdatabank.org/id/partnerperception/unattractive
34,https://data.cooperationdatabank.org/id/ENG00072_1.1.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-1.00181,62.0,https://data.cooperationdatabank.org/id/ENG00072_1.1.2,https://data.cooperationdatabank.org/id/ENG00072_1.1.3,https://data.cooperationdatabank.org/id/ENG00072_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,44.0,18.0,3.64,4.77,-1.57784,-0.42578,https://data.cooperationdatabank.org/id/ENG00072,http://dx.doi.org/10.1016/j.joep.2007.07.008,['https://data.cooperationdatabank.org/vocab/prop/partnerPerception'],https://data.cooperationdatabank.org/id/partnerperception/attractive,https://data.cooperationdatabank.org/id/partnerperception/unattractive
35,https://data.cooperationdatabank.org/id/ENG00072_1.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.407619,80.0,https://data.cooperationdatabank.org/id/ENG00072_1.2.1,https://data.cooperationdatabank.org/id/ENG00072_1.2.2,https://data.cooperationdatabank.org/id/ENG00072_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,40.0,40.0,4.23,3.434,-0.850409,0.0351696,https://data.cooperationdatabank.org/id/ENG00072,http://dx.doi.org/10.1016/j.joep.2007.07.008,['https://data.cooperationdatabank.org/vocab/prop/feedbackTarget'],https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/id/feedbacktarget/individual
36,https://data.cooperationdatabank.org/id/ENG00087_3.3.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.34684,61.0,https://data.cooperationdatabank.org/id/ENG00087_3.3.1,https://data.cooperationdatabank.org/id/ENG00087_3.3.2,https://data.cooperationdatabank.org/id/ENG00087_3,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,61.0,61.0,28.2,12.17,1.30247,1.39121,https://data.cooperationdatabank.org/id/ENG00087,http://dx.doi.org/10.1016/j.socec.2016.09.002,['https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal'],https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last
37,https://data.cooperationdatabank.org/id/ENG00100_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.743828,36.0,https://data.cooperationdatabank.org/id/ENG00100_1.1.1,https://data.cooperationdatabank.org/id/ENG00100_1.1.2,https://data.cooperationdatabank.org/id/ENG00100_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,18.0,18.0,1.54,1.3,0.0682921,1.41936,https://data.cooperationdatabank.org/id/ENG00100,http://dx.doi.org/NA,['https://data.cooperationdatabank.org/vocab/prop/contextFrame'],https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/id/contextframe/competitive
38,https://data.cooperationdatabank.org/id/ENG00100_1.1.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.174312,36.0,https://data.cooperationdatabank.org/id/ENG00100_1.1.1,https://data.cooperationdatabank.org/id/ENG00100_1.1.3,https://data.cooperationdatabank.org/id/ENG00100_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,18.0,18.0,1.54,1.67,-0.828873,0.480249,https://data.cooperationdatabank.org/id/ENG00100,http://dx.doi.org/NA,['https://data.cooperationdatabank.org/vocab/prop/contextFrame'],https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/id/contextframe/generic
39,https://data.cooperationdatabank.org/id/ENG00100_1.1.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.895435,36.0,https://data.cooperationdatabank.org/id/ENG00100_1.1.2,https://data.cooperationdatabank.org/id/ENG00100_1.1.3,https://data.cooperationdatabank.org/id/ENG00100_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,18.0,18.0,1.3,1.67,-1.58072,-0.210156,https://data.cooperationdatabank.org/id/ENG00100,http://dx.doi.org/NA,['https://data.cooperationdatabank.org/vocab/prop/contextFrame'],https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/id/contextframe/generic
